"route","requestedUrl","finalUrl","status","attempts","contentType","cacheControl","bytes","title","canonical","mb01Occurrences","uniqueMb01Urls","firstMb01Url","imageCount","missingImageAlt","result"
"/","https://kkofor.github.io/vanstro-frontend/","https://kkofor.github.io/vanstro-frontend/","200","1","text/html; charset=utf-8","max-age=600","98657","VanStro Global Supply","https://vanstro.ca/","0","0","","23","0","Pass"
"/__g10-not-found__/","https://kkofor.github.io/vanstro-frontend/__g10-not-found__/","https://kkofor.github.io/vanstro-frontend/__g10-not-found__/","404","1","text/html; charset=utf-8","","42218","404: This page could not be found.","https://vanstro.ca/","0","0","","3","0","Pass: expected 404"
"/_not-found/","https://kkofor.github.io/vanstro-frontend/_not-found/","https://kkofor.github.io/vanstro-frontend/_not-found/","200","1","text/html; charset=utf-8","max-age=600","42218","404: This page could not be found.","https://vanstro.ca/","0","0","","3","0","Pass"
"/404/","https://kkofor.github.io/vanstro-frontend/404/","https://kkofor.github.io/vanstro-frontend/404/","200","1","text/html; charset=utf-8","max-age=600","42218","404: This page could not be found.","https://vanstro.ca/","0","0","","3","0","Pass"
"/about/","https://kkofor.github.io/vanstro-frontend/about/","https://kkofor.github.io/vanstro-frontend/about/","200","1","text/html; charset=utf-8","max-age=600","55593","About VanStro | VanStro Global Supply","https://vanstro.ca/about/","0","0","","4","0","Pass"
"/account/login/","https://kkofor.github.io/vanstro-frontend/account/login/","https://kkofor.github.io/vanstro-frontend/account/login/","200","1","text/html; charset=utf-8","max-age=600","41862","Sign in | VanStro Global Supply","https://vanstro.ca/","0","0","","3","0","Pass"
"/account/register/","https://kkofor.github.io/vanstro-frontend/account/register/","https://kkofor.github.io/vanstro-frontend/account/register/","200","1","text/html; charset=utf-8","max-age=600","42251","Create account | VanStro Global Supply","https://vanstro.ca/","0","0","","3","0","Pass"
"/articles/","https://kkofor.github.io/vanstro-frontend/articles/","https://kkofor.github.io/vanstro-frontend/articles/","200","1","text/html; charset=utf-8","max-age=600","45731","Buying guide | VanStro Global Supply","https://vanstro.ca/","0","0","","6","0","Pass"
"/articles/how-to-measure-for-cabinets/","https://kkofor.github.io/vanstro-frontend/articles/how-to-measure-for-cabinets/","https://kkofor.github.io/vanstro-frontend/articles/how-to-measure-for-cabinets/","200","1","text/html; charset=utf-8","max-age=600","42870","How do I measure for cabinets? | VanStro Global Supply","https://vanstro.ca/articles/how-to-measure-for-cabinets/","0","0","","4","0","Pass"
"/articles/pickup-and-delivery-options/","https://kkofor.github.io/vanstro-frontend/articles/pickup-and-delivery-options/","https://kkofor.github.io/vanstro-frontend/articles/pickup-and-delivery-options/","200","1","text/html; charset=utf-8","max-age=600","42886","Nationwide delivery and dealer pickup | VanStro Global Supply","https://vanstro.ca/articles/pickup-and-delivery-options/","0","0","","4","0","Pass"
