sku,status,sourceUrl,mismatchFields,nameLocal,nameMb01,modelLocal,modelMb01,categoryLocal,categoryMb01,subCategoryLocal,subCategoryMb01,priceLocal,priceMb01,parametersResult,descriptionResult,primaryImageResult,galleryImagesResult,galleryOrderResult
"011710130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b12-252","[""variants"",""galleryImages"",""galleryOrder""]","Base Cabinet B12","Base Cabinet B12","B12-PWMS-WH","B12-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":302,""currency"":""CAD""}","{""amount"":302,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011720130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b15-253","[""galleryImages"",""galleryOrder""]","Base Cabinet B15","Base Cabinet B15","B15-PWMS-WH","B15-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":326,""currency"":""CAD""}","{""amount"":326,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011730130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b18-254","[""galleryImages"",""galleryOrder""]","Base Cabinet B18","Base Cabinet B18","B18-PWMS-WH","B18-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":353,""currency"":""CAD""}","{""amount"":353,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011740130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b21-265","[""galleryImages"",""galleryOrder""]","Base Cabinet B21","Base Cabinet B21","B21-PWMS-WH","B21-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":377,""currency"":""CAD""}","{""amount"":377,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011750130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b24-266","[""galleryImages"",""galleryOrder""]","Base Cabinet B24","Base Cabinet B24","B24-PWMS-WH","B24-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":414,""currency"":""CAD""}","{""amount"":414,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011760130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b27-267","[""galleryImages"",""galleryOrder""]","Base Cabinet B27","Base Cabinet B27","B27-PWMS-WH","B27-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":441,""currency"":""CAD""}","{""amount"":441,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011770130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b30-268","[""galleryImages"",""galleryOrder""]","Base Cabinet B30","Base Cabinet B30","B30-PWMS-WH","B30-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":558,""currency"":""CAD""}","{""amount"":558,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011780130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b33-269","[""galleryImages"",""galleryOrder""]","Base Cabinet B33","Base Cabinet B33","B33-PWMS-WH","B33-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":585,""currency"":""CAD""}","{""amount"":585,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011790130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b36-270","[""galleryImages"",""galleryOrder""]","Base Cabinet B36","Base Cabinet B36","B36-PWMS-WH","B36-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":612,""currency"":""CAD""}","{""amount"":612,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011800130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b42-271","[""galleryImages"",""galleryOrder""]","Base Cabinet B42","Base Cabinet B42","B42-PWMS-WH","B42-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Base Cabinet","Base Cabinet","{""amount"":699,""currency"":""CAD""}","{""amount"":699,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011950130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb30-368","[""galleryImages"",""galleryOrder""]","Sink Base SB30","Sink Base SB30","SB30-PWMS-WH","SB30-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Sink Base","Sink Base","{""amount"":322,""currency"":""CAD""}","{""amount"":322,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011960130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb33-369","[""galleryImages"",""galleryOrder""]","Sink Base SB33","Sink Base SB33","SB33-PWMS-WH","SB33-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Sink Base","Sink Base","{""amount"":341,""currency"":""CAD""}","{""amount"":341,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011970130","Mismatch","https://mb01.vanstro.ca/product/sink-base-sb36-370","[""galleryImages"",""galleryOrder""]","Sink Base SB36","Sink Base SB36","SB36-PWMS-WH","SB36-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","Sink Base","Sink Base","{""amount"":360,""currency"":""CAD""}","{""amount"":360,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"012710130","Mismatch","https://mb01.vanstro.ca/product/3-drawer-base-3db12-272","[""galleryImages"",""galleryOrder""]","3-Drawer Base 3DB12","3-Drawer Base 3DB12","3DB12-PWMS-WH","3DB12-PWMS-WH","Kitchen Cabinets","Kitchen Cabinets","3-Drawer Base","3-Drawer Base","{""amount"":467,""currency"":""CAD""}","{""amount"":467,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
