sku,parentSku,status,sourceUrl,mismatchFields,modelLocal,modelMb01,priceLocal,priceMb01,parametersResult,descriptionResult,primaryImageResult,galleryImagesResult,galleryOrderResult
"011710130","011710130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b12-252","[""galleryImages"",""galleryOrder""]","B12-PWMS-WH","B12-PWMS-WH","{""amount"":302,""currency"":""CAD""}","{""amount"":302,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011710230","011710130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b12-252","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B12-PWMS-LG","B12-PWMS-LG","{""amount"":302,""currency"":""CAD""}","{""amount"":302,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011720130","011720130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b15-253","[""galleryImages"",""galleryOrder""]","B15-PWMS-WH","B15-PWMS-WH","{""amount"":326,""currency"":""CAD""}","{""amount"":326,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011720230","011720130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b15-253","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B15-PWMS-LG","B15-PWMS-LG","{""amount"":326,""currency"":""CAD""}","{""amount"":326,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011730130","011730130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b18-254","[""galleryImages"",""galleryOrder""]","B18-PWMS-WH","B18-PWMS-WH","{""amount"":353,""currency"":""CAD""}","{""amount"":353,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011730230","011730130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b18-254","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B18-PWMS-LG","B18-PWMS-LG","{""amount"":353,""currency"":""CAD""}","{""amount"":353,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011740130","011740130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b21-265","[""galleryImages"",""galleryOrder""]","B21-PWMS-WH","B21-PWMS-WH","{""amount"":377,""currency"":""CAD""}","{""amount"":377,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011740230","011740130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b21-265","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B21-PWMS-LG","B21-PWMS-LG","{""amount"":377,""currency"":""CAD""}","{""amount"":377,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011750130","011750130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b24-266","[""galleryImages"",""galleryOrder""]","B24-PWMS-WH","B24-PWMS-WH","{""amount"":414,""currency"":""CAD""}","{""amount"":414,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011750230","011750130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b24-266","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B24-PWMS-LG","B24-PWMS-LG","{""amount"":414,""currency"":""CAD""}","{""amount"":414,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011760130","011760130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b27-267","[""galleryImages"",""galleryOrder""]","B27-PWMS-WH","B27-PWMS-WH","{""amount"":441,""currency"":""CAD""}","{""amount"":441,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011760230","011760130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b27-267","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B27-PWMS-LG","B27-PWMS-LG","{""amount"":441,""currency"":""CAD""}","{""amount"":441,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011770130","011770130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b30-268","[""galleryImages"",""galleryOrder""]","B30-PWMS-WH","B30-PWMS-WH","{""amount"":558,""currency"":""CAD""}","{""amount"":558,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011770230","011770130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b30-268","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B30-PWMS-LG","B30-PWMS-LG","{""amount"":558,""currency"":""CAD""}","{""amount"":558,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011780130","011780130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b33-269","[""galleryImages"",""galleryOrder""]","B33-PWMS-WH","B33-PWMS-WH","{""amount"":585,""currency"":""CAD""}","{""amount"":585,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
"011780230","011780130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b33-269","[""galleryImages"",""galleryOrder"",""parametersSpecifications""]","B33-PWMS-LG","B33-PWMS-LG","{""amount"":585,""currency"":""CAD""}","{""amount"":585,""currency"":""CAD""}","Mismatch","Matched","Matched","Mismatch","Mismatch"
"011790130","011790130","Mismatch","https://mb01.vanstro.ca/product/base-cabinet-b36-270","[""galleryImages"",""galleryOrder""]","B36-PWMS-WH","B36-PWMS-WH","{""amount"":612,""currency"":""CAD""}","{""amount"":612,""currency"":""CAD""}","Matched","Matched","Matched","Mismatch","Mismatch"
