parent_sku,sku,model,status,failed_fields
011710130,011710130,B12-PWMS-WH,Matched,
011710130,011710230,B12-PWMS-LG,Matched,
011720130,011720130,B15-PWMS-WH,Matched,
011720130,011720230,B15-PWMS-LG,Matched,
011730130,011730130,B18-PWMS-WH,Matched,
011730130,011730230,B18-PWMS-LG,Matched,
011740130,011740130,B21-PWMS-WH,Matched,
011740130,011740230,B21-PWMS-LG,Matched,
011750130,011750130,B24-PWMS-WH,Matched,
011750130,011750230,B24-PWMS-LG,Matched,
011760130,011760130,B27-PWMS-WH,Matched,
011760130,011760230,B27-PWMS-LG,Matched,
011770130,011770130,B30-PWMS-WH,Matched,
011770130,011770230,B30-PWMS-LG,Matched,
011780130,011780130,B33-PWMS-WH,Matched,
011780130,011780230,B33-PWMS-LG,Matched,
011790130,011790130,B36-PWMS-WH,Matched,
011790130,011790230,B36-PWMS-LG,Matched,
011800130,011800130,B42-PWMS-WH,Matched,
011800130,011800230,B42-PWMS-LG,Matched,
011950130,011950130,SB30-PWMS-WH,Matched,
011950130,011950230,SB30-PWMS-LG,Matched,
011960130,011960130,SB33-PWMS-WH,Matched,
011960130,011960230,SB33-PWMS-LG,Matched,
011970130,011970130,SB36-PWMS-WH,Matched,
011970130,011970230,SB36-PWMS-LG,Matched,
012710130,012710130,3DB12-PWMS-WH,Matched,
012710130,012710230,3DB12-PWMS-LG,Matched,
012720130,012720130,3DB15-PWMS-WH,Matched,
012720130,012720230,3DB15-PWMS-LG,Matched,
012730130,012730130,3DB18-PWMS-WH,Matched,
012730130,012730230,3DB18-PWMS-LG,Matched,
012740130,012740130,3DB21-PWMS-WH,Matched,
012740130,012740230,3DB21-PWMS-LG,Matched,
012750130,012750130,3DB24-PWMS-WH,Matched,
012750130,012750230,3DB24-PWMS-LG,Matched,
012770130,012770130,3DB30-PWMS-WH,Matched,
012770130,012770230,3DB30-PWMS-LG,Matched,
012780130,012780130,3DB33-PWMS-WH,Matched,
012780130,012780230,3DB33-PWMS-LG,Matched,
012790130,012790130,3DB36-PWMS-WH,Matched,
012790130,012790230,3DB36-PWMS-LG,Matched,
013780130,013780130,LSB33-W-PWMS-WH,Matched,
013780130,013780230,LSB33-W-PWMS-LG,Matched,
